Tipo ;Nivel;Elemento;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
;;;;;;;
 Techo 1° Nivel ;;;;;;;
 V-1 ; SUP ; Viga Peraltada ;" 3/4"" ";3.96;1; 2.24 kg/m ;8.84718
 V-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.07;10; 0.56 kg/m ;11.606326
 V-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.07;10; 0.56 kg/m ;11.606326
 V-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.09;14; 0.56 kg/m ;16.363828
 V-2 ; SUP ; Viga Peraltada ;" 3/4"" ";7.49;2; 2.24 kg/m ;33.471069
 V-2 ; SUP ; Viga Peraltada ;" 3/4"" ";7.49;2; 2.24 kg/m ;33.486279
 V-2 ; SUP ; Viga Peraltada ;" 3/4"" ";4.67;2; 2.24 kg/m ;20.854179
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.344535
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.344121
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.345166
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2;9; 0.56 kg/m ;10.091959
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.01;2; 2.24 kg/m ;31.324662
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";8.98;2; 2.24 kg/m ;40.138131
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.4;2; 2.24 kg/m ;33.061209
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.53;2; 2.24 kg/m ;15.765778
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.03;2; 2.24 kg/m ;31.445467
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";8.99;2; 2.24 kg/m ;40.201397
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.31;2; 2.24 kg/m ;32.659208
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.36;1; 2.24 kg/m ;7.513644
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.36;1; 2.24 kg/m ;7.501978
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.38;2; 2.24 kg/m ;15.095299
 V-4 ; SUP ; Viga Peraltada ;" 3/8"" ";1.95;10; 0.56 kg/m ;10.916107
 V-4 ; SUP ; Viga Peraltada ;" 3/8"" ";1.95;5; 0.56 kg/m ;5.458053
 V-4 ; SUP ; Viga Peraltada ;" 3/4"" ";3.73;2; 2.24 kg/m ;16.677215
 V-4 ; SUP ; Viga Peraltada ;" 1"" ";4.49;2; 3.40 kg/m ;30.520328
 V-4 ; SUP ; Viga Peraltada ;" 1"" ";3.43;1; 3.40 kg/m ;11.665171
 V-5 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-5 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-5 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;22; 0.56 kg/m ;25.252452
 V-5 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;15; 0.56 kg/m ;17.115772
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";6.47;2; 3.40 kg/m ;43.988941
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;60.985031
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";7.96;2; 3.40 kg/m ;54.100665
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";5.92;2; 3.40 kg/m ;40.205593
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";6.08;2; 3.40 kg/m ;41.297244
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";5.15;2; 3.40 kg/m ;35.021596
 V-5 ; SUP ; Viga Peraltada ;" 1"" ";3.65;1; 3.40 kg/m ;12.398411
 V-6 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.470283
 V-6 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.470283
 V-6 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;23; 0.56 kg/m ;26.316621
 V-6 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;12; 0.56 kg/m ;13.72807
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";8.94;2; 3.40 kg/m ;60.714735
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";4.15;1; 3.40 kg/m ;14.102152
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";7.08;2; 3.40 kg/m ;48.080978
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;61.033958
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";7.53;2; 3.40 kg/m ;51.138278
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";7.84;1; 3.40 kg/m ;26.623528
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";3.75;1; 3.40 kg/m ;12.743084
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";7.33;2; 3.40 kg/m ;49.820602
 V-6 ; SUP ; Viga Peraltada ;" 1"" ";6.18;2; 3.40 kg/m ;41.956173
 Techo 1° Nivel: 144 ; SUP ;;;;1,082.00;;3,286.89
 Techo 2° Nivel ; SUP ;;;;;;
 Viga Chata ; SUP ;;;;;;
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
